   Depth            BFSolver                A(i)                A(c)           A(+{c,i})         A(+{c,i,4})    A(+{*{i,i},c,4})    A(+{*{s,s},c,4})A(+{*{B,B,s,s},c,4})A(+{*{B,B,a,a},c,4})             A(rand)
       0                    3                   0                   0                   0                   0                   0                   0                   0                   0                   0
       1                    6                   3                   3                   3                   3                   3                   3                   3                   3                   3
       2                    9                   7                   7                   7                   7                   9                   9                   9                   9                  11
       3                   13                  11                  11                  11                  11                  39                  39                 264                 264                   9
       4                   21                  15                  15                  15                  15                  13                  13                  13                  13                  13
       5                   34                  26                  22                  26                  26                  45                  45                 271                 271                 256
       6                   51                  50                  37                  50                  50                  79                  79                 273                 273                2073
       7                   74                  79                  56                  77                  77                 268                 222                 296                 296                2075
       8                   97                 120                  77                 111                 111                 393                 338                 361                 361                2077
       9                  124                 178                 104                 155                 155                 396                 341                 360                 360                2081
      10                  151                 226                 124                 174                 174                 398                 344                 363                 363                2082
      11                  179                 309                 149                 221                 221                 468                 463                 449                 449                2084
      12                  205                 358                 161                 225                 225                 407                 351                 318                 318                2085
      13                  239                 432                 180                 283                 283                 462                 457                 319                 319                2086
      14                  280                 455                 194                 314                 314                 462                 457                 326                 326                 570
      15                  342                 583                 223                 374                 374                 762                 572                 334                 334                 604
      16                  413                 673                 260                 395                 395                 464                 459                 377                 377                2255
      17                  502                 798                 306                 439                 439                 760                 594                 458                 458                2513
      18                  592                 935                 356                 490                 490                 764                 603                 591                 591                2516
      19                  692                1065                 392                 547                 547                 765                 605                 592                 592                2518
      20                  780                1239                 431                 552                 552                 794                 642                 627                 627                2526
      21                  873                1437                 463                 607                 607                 767                 642                 629                 629                2523
      22                  955                1588                 486                 615                 615                 770                 610                 597                 597                2525
      23                 1039                1896                 525                 618                 618                 772                 646                 599                 599                2531
      24                 1120                1897                 551                 619                 619                 773                 649                 600                 600                2532
      25                 1219                2199                 571                 625                 625                 774                 650                 601                 601                2546
      26                 1318                1734                 598                 682                 682                 805                 653                 627                 627                2547
      27                 1447                1915                 618                 730                 730                 828                 661                 635                 635                2550
      28                 1582                2205                 650                 743                 743                 829                 663                 637                 637                3192
      29                 1747                2408                 673                 747                 747                 835                 667                 641                 641                3199
      30                 1900                2688                 697                 749                 749                 836                 668                 642                 642                3206
      31                 2052                2964                 717                 759                 759                 839                 671                 645                 645                3340
      32                 2186                3202                 735                 778                 775                 859                 691                 665                 665                3341
      33                 2321                3425                 754                 795                 792                 852                 703                 677                 677                3342
